stroke_team,stroke_type,admissions,proportion_of_all_with_ivt,proportion_of_all_with_mt,proportion_of_mt_with_ivt,proportion1_of_all_with_onset_known_ivt,proportion2_of_mask1_with_onset_to_arrival_on_time_ivt,proportion3_of_mask2_with_arrival_to_scan_on_time_ivt,proportion4_of_mask3_with_onset_to_scan_on_time_ivt,proportion5_of_mask4_with_enough_time_to_treat_ivt,proportion6_of_mask5_with_treated_ivt,lognorm_mu_onset_arrival_mins_ivt,lognorm_sigma_onset_arrival_mins_ivt,lognorm_mu_arrival_scan_arrival_mins_ivt,lognorm_sigma_arrival_scan_arrival_mins_ivt,lognorm_mu_scan_needle_mins_ivt,lognorm_sigma_scan_needle_mins_ivt,proportion1_of_all_with_onset_known_mt,proportion2_of_mask1_with_onset_to_arrival_on_time_mt,proportion3_of_mask2_with_arrival_to_scan_on_time_mt,proportion4_of_mask3_with_onset_to_scan_on_time_mt,proportion5_of_mask4_with_enough_time_to_treat_mt,proportion6_of_mask5_with_treated_mt,lognorm_mu_onset_arrival_mins_mt,lognorm_sigma_onset_arrival_mins_mt,lognorm_mu_arrival_scan_arrival_mins_mt,lognorm_sigma_arrival_scan_arrival_mins_mt,lognorm_mu_scan_puncture_mins_mt,lognorm_sigma_scan_puncture_mins_mt
James Paget Hospital,nlvo,268.5,0.08007448789571694,0.0006207324643078833,0.0,0.5108628181253879,0.5674362089914945,0.9464668094218416,0.8393665158371041,1.0,0.30997304582210244,4.655266092688446,0.5665747144503284,3.516417988721255,0.8035783016622822,3.5376756669338096,0.6281125920701501,0.5108628181253879,0.7399756986634265,0.9655172413793104,0.9132653061224489,0.9795158286778398,0.0,4.928422198300164,0.7073867903424765,3.7442904323806494,0.9104054040576331,,
James Paget Hospital,other,67.0,0.0,0.0,,0.5099502487562189,0.6878048780487804,0.9645390070921985,0.875,1.0,0.0,4.588029828938984,0.4597211477341328,3.4766292803380967,0.772870154942582,,,0.5099502487562189,0.8682926829268293,0.9775280898876404,0.9597701149425287,0.9820359281437125,0.0,4.835838827013085,0.6411544391325772,3.613715081561732,0.837027523666663,,
John Radcliffe Hospital,lvo,86.33333333333333,0.3996138996138996,0.12934362934362933,0.7761194029850746,0.7702702702702703,0.8571428571428571,0.9707602339181286,0.9487951807228916,1.0,0.6285714285714286,4.447135789588441,0.5142323161692054,2.956689933089095,0.8433854037646971,3.1138381513267865,0.8590965484957472,0.7702702702702703,0.9223057644110275,0.9864130434782609,0.9834710743801653,1.0,0.18487394957983194,4.543275090848582,0.6083142534013656,3.0429479843577774,0.9291230835872281,4.435866020763466,0.6897750261404657
John Radcliffe Hospital,nlvo,258.6666666666667,0.17654639175257733,0.008376288659793814,0.46153846153846156,0.7061855670103093,0.6459854014598541,0.9378531073446328,0.875,1.0,0.45611015490533563,4.620128858439696,0.5699936962238075,3.2472220732624315,0.923450056488347,3.225200009950902,0.8058291192279169,0.7061855670103093,0.7755474452554745,0.9647058823529412,0.9329268292682927,0.9921568627450981,0.015810276679841896,4.815874769662945,0.6842241144218885,3.46991428077919,1.0797465067927903,4.65561588875306,0.698406863290435
John Radcliffe Hospital,other,68.83333333333333,0.0,0.0,,0.6876513317191283,0.7711267605633803,0.9360730593607306,0.8780487804878049,1.0,0.0,4.553458237834951,0.6224889615392603,3.2328684322524093,0.9547117298081076,,,0.6876513317191283,0.8626760563380281,0.9755102040816327,0.9414225941422594,0.9822222222222222,0.0,4.689544590477962,0.7123094745155977,3.4516533520904904,1.116093340111326,,
King's College Hospital HASU,lvo,58.333333333333336,0.3914285714285714,0.15142857142857144,0.5283018867924528,0.8485714285714285,0.734006734006734,0.9862385321100917,0.9348837209302325,1.0,0.6467661691542289,4.528026520962739,0.49063964896301615,3.1595382229839593,0.653412630586401,3.2240245662846587,0.8437214527787519,0.8485714285714285,0.835016835016835,0.9959677419354839,0.9878542510121457,0.9959016393442623,0.17695473251028807,4.672034598553098,0.6056972339394004,3.1017085147800207,0.8629624019619697,4.5100402218794535,0.6731875512773366
King's College Hospital HASU,nlvo,298.1666666666667,0.11682504192286193,0.003353828954723309,1.0,0.7384013415315819,0.47009841029523086,0.9549114331723028,0.8819561551433389,1.0,0.37667304015296366,4.623408010706386,0.5522131604057747,3.2246522416867975,1.0072797764892871,3.10945565955079,0.8232195825594124,0.7384013415315819,0.6502649507948524,0.9918509895227008,0.9084507042253521,0.9896640826873385,0.007832898172323759,4.952135161957955,0.7169174501846829,3.4201432195239794,1.2406387509243808,5.063744960609903,0.5157163060520281
King's College Hospital HASU,other,61.166666666666664,0.0,0.0,,0.7138964577656676,0.5610687022900763,0.9863945578231292,0.896551724137931,1.0,0.0,4.609260166988148,0.47194103428908163,3.2391499320811947,0.8970577617337704,,,0.7138964577656676,0.7480916030534351,1.0,0.9540816326530612,0.9893048128342246,0.0,4.9005031945372055,0.657507266197927,3.2776602054440698,1.0823003973734904,,
Kings Mill Hospital,lvo,103.16666666666667,0.3198707592891761,0.05815831987075929,0.6388888888888888,0.8998384491114702,0.6427289048473968,0.994413407821229,0.8960674157303371,1.0,0.6050156739811913,4.596778216282496,0.49177946045185306,3.313346018037843,0.7357069357318695,3.449908674112104,0.7308806225398274,0.8998384491114702,0.7917414721723519,0.9909297052154195,0.9633867276887872,0.9904988123515439,0.08393285371702638,4.822939798760697,0.651316032990282,3.4492151789451317,0.8004652024666241,5.250357069454718,0.6483544136793299
Kings Mill Hospital,nlvo,340.3333333333333,0.08570029382957885,0.004897159647404506,0.6,0.807541625857003,0.45178896300788357,0.9422818791946309,0.7763532763532763,1.0,0.3155963302752294,4.705849936721219,0.5311622176977365,3.8434102516967847,0.8252128068844745,3.4716404129572083,0.7569687865966526,0.807541625857003,0.6464523953911462,0.975609756097561,0.8817307692307692,0.9825517993456925,0.008879023307436182,5.0433834159339765,0.6892408079799351,4.073718519944274,0.8870198086978304,5.335387611757677,0.4619308355094113
Kings Mill Hospital,other,69.33333333333333,0.0,0.0,,0.8293269230769231,0.6405797101449275,0.9728506787330317,0.8093023255813954,1.0,0.0,4.617253888495633,0.5278062596452295,3.733752108884757,0.7998955025358805,,,0.8293269230769231,0.7971014492753623,0.9854545454545455,0.9446494464944649,0.9921875,0.0,4.850212470336176,0.6729751298959056,3.8721381399448647,0.8559635388181527,,
